ruleId,ruleName,description,rationale,positiveAnalysis,issueAnalysis,depth
"DHF_1.1","Design and Development planning","Is there a complete and consistent DHF/DFF available that is representative for the released product and the development plan ?","CFR 820.30(j): Design History File. Each manufacturer shall establish and maintain a DHF for each type of device. The DHF shall contain or reference the records necessary to demonstrate that the design was developed in accordance with the approved design plan and the requirements of this part. ISO13485:2016, section 7.3.10: The organization shall maintain a Design and Development File for each medical device type or medical device family. This file shall include or reference records generated to demonstrate conformity to the requirements for design and development and records for design and development changes.",,,
"DHF_1.1.1","Design & Development planning","Is there a complete and consistent DHF/DFF available that is representative for the released product and the development plan ?","CFR 820.30(j): Design History File. Each manufacturer shall establish and maintain a DHF for each type of device. The DHF shall contain or reference the records necessary to demonstrate that the design was developed in accordance with the approved design plan and the requirements of this part. ISO13485:2016, section 7.3.10: The organization shall maintain a Design and Development File for each medical device type or medical device family. This file shall include or reference records generated to demonstrate conformity to the requirements for design and development and records for design and development changes.",,,
"DI_1.1","Design Input","Does the intended use contain all of the following elements : intended medical indication, patient population, population at greatest risk, part of the body or tissue type interacted with, user profile, use environment , operating principle and contra-indications ?","Standard requirement. Patient profiles at greatest risk(e.g. pediatrics, neonatals, pregnant women, ...) need also to be explictly specified. In case these populations are part of the intended use, extra review attention needs to be given to the artefacts that are related or derived from those intended use targets.",,,
"DI_1.2","Design Input","If the intended use is described in different documents (e.g. regulatory plan, labeling, ...), is the information consistent to the current labelling available on the market ?","Documentation of the intended use can be called out in multiple deliverables (e.g. regulatory plan, user needs, safety characterization worksheet, IFU, ...). Is it essential that the information elements are fully consistent between multiple sources.",,,
"DI_8.2","Design Input","Have the applicable safety clauses in standards and regulations been identified and are they traceable to verifiable requirements ?","Applicable regulation that is not specific for medical devices should also be considered in answering this question.",,,
"DO_1.1","Design Output","Is there an unambiguous definition of essential design outputs ?","Essential design outputs for safe and effective functioning of the device must be identified according to 21 CFR820(d) and ISO13485 Clause 7.3.4. Safe functioning could be covered by CtS if CtS covers / is extended to all risks which are unaccepable. Effective functioning could be covered by CtQ if CtQ covers / is extended to all risks which are unaccepable. Consider if an alternative approach is defined in case CtQ/CtQ is not covering all unaccpetable risks.",,,
"DO_2.1","Design Output","Is the functional decomposition of the system documented ?","Hardware- software functional decomposisiton is exptected",,,
"VER_1.1","Design Verification","Are all the requirements related to the design of the product traceable to verification protocols and test reports for those protocols ?","In case of multi-level/decomposition, this aplies to all requirements.",,,
"VER_2.1","Design Verification","Does the procedure rely on correct statistical principles ?","",,,
"VER_2.2","Design Verification","Does the procedure determine statistical sampling protocols based on risk profile of the requirements ?","",,,
"VAL_1.1","Design Validation","Do the validation plans provide full coverage on the evaluation of the user needs / requirements and intended use including overall acceptance criteria ?","As part of clinical evaluation it will be determined whether a clinical study/trial is required as part of design validation. Beside a clinical study/trial two major validation components are distinguished to demonstrate the device is safe and effective: 1) product validation - with the aim to establish the evidence that the product conforms to its intended use and defined user needs (User requirements). Consider that labelling, packing and software validation could be available in seperate plans; 2) human factors engineering / usability evalution - with the aim to minimize use-related hazards and risks. Although it is not re-iterated in the questions below in this section, for each question it has be addressed whether it is applicable for the listed types of validation including usability.",,,
"VAL_1.2","Design Validation","Do the validation plans address all user interfaces and configurations of the product ? Is a representative validation test environment defined ?","Consider that representative could also include connected assessories, connected external systems and stress testing.",,,
"VAL_1.3","Design Validation","Is there a documented rationale for the selected validation methods for all user needs / requirements ?","Key in selecting the right method of substantiation is looking for the environment needed, if patient data are needed to determine if you can reuse data accompanied with a clinical evalation and PMS data, or if you can test via simulated validation or if you need a clinical study/clinical investigation. For usability it is key e.g. that the hazard related use scenarios, critical tasks and known use problems (e.g. known from PMS data) been identified.",,,
"VAL_1.4","Design Validation","Do the validation plans define the framework for sampling ?","For design validation sampling based on correct statistical principles is exptected. For summative testing focus should by on user groups, at minimum 15 users per user group, and countries to define the number of participants.",,,
